date,flight_number,destination,scheduled_departure,actual_departure,delayed
2025-03-27,FX1385,MEM,2025-03-28 00:40:00 CDT,2025-03-27 23:59:59 CDT,False
2025-03-27,AA3074,SJU,2025-03-27 23:35:00 CDT,2025-03-27 23:48:00 CDT,False
2025-03-27,FX1365,MEM,2025-03-27 23:09:00 CDT,2025-03-27 23:39:27 CDT,True
2025-03-27,IB364,MAD,2025-03-27 22:59:00 CDT,2025-03-27 23:27:13 CDT,True
2025-03-27,NK194,LAS,2025-03-27 22:57:00 CDT,2025-03-27 23:19:42 CDT,True
2025-03-27,AA2564,ABQ,2025-03-27 22:57:00 CDT,2025-03-27 23:34:19 CDT,True
2025-03-27,AA4896,ACT,2025-03-27 22:56:00 CDT,2025-03-27 23:51:35 CDT,True
2025-03-27,QR732,DOH,2025-03-27 22:55:00 CDT,2025-03-27 23:19:42 CDT,True
2025-03-27,AA662,DEN,2025-03-27 22:55:00 CDT,2025-03-27 23:06:46 CDT,False
2025-03-27,FJ891,NAN,2025-03-27 22:55:00 CDT,2025-03-27 23:23:15 CDT,True
2025-03-27,AA1217,SAT,2025-03-27 22:55:00 CDT,2025-03-27 23:07:48 CDT,False
2025-03-27,AA2734,OKC,2025-03-27 22:54:00 CDT,2025-03-27 23:04:49 CDT,False
2025-03-27,FX1609,IND,2025-03-27 22:53:00 CDT,2025-03-27 22:36:54 CDT,False
2025-03-27,AA1607,ELP,2025-03-27 22:52:00 CDT,2025-03-27 23:05:44 CDT,False
2025-03-27,AA790,COS,2025-03-27 22:52:00 CDT,2025-03-28 01:17:41 CDT,True
2025-03-27,AA6332,GGG,2025-03-27 22:51:00 CDT,2025-03-27 23:45:19 CDT,True
2025-03-27,AA2998,LAS,2025-03-27 22:51:00 CDT,2025-03-27 22:57:27 CDT,False
2025-03-27,5X9324,SDF,2025-03-27 22:50:00 CDT,2025-03-27 23:09:29 CDT,True
2025-03-27,AA6395,TYR,2025-03-27 22:50:00 CDT,2025-03-27 23:17:31 CDT,True
2025-03-27,AA6333,ROW,2025-03-27 22:50:00 CDT,2025-03-27 23:03:56 CDT,False
2025-03-27,AA3569,GRK,2025-03-27 22:48:00 CDT,2025-03-27 22:53:18 CDT,False
2025-03-27,AA650,IAH,2025-03-27 22:48:00 CDT,2025-03-27 22:56:36 CDT,False
2025-03-27,AA6200,SJT,2025-03-27 22:47:00 CDT,2025-03-27 23:49:20 CDT,True
2025-03-27,AA2568,SAN,2025-03-27 22:46:00 CDT,2025-03-27 23:09:07 CDT,True
2025-03-27,AA1205,AUS,2025-03-27 22:45:00 CDT,2025-03-27 23:05:19 CDT,True
2025-03-27,AA531,TUL,2025-03-27 22:45:00 CDT,2025-03-27 23:04:15 CDT,True
2025-03-27,AA3687,FSM,2025-03-27 22:45:00 CDT,2025-03-27 23:00:48 CDT,True
2025-03-27,AA1433,XNA,2025-03-27 22:43:00 CDT,2025-03-27 22:59:04 CDT,True
2025-03-27,AA711,ONT,2025-03-27 22:42:00 CDT,2025-03-27 22:55:12 CDT,False
2025-03-27,AA509,SMF,2025-03-27 22:42:00 CDT,2025-03-27 22:54:12 CDT,False
2025-03-27,AA5130,LIT,2025-03-27 22:41:00 CDT,2025-03-27 22:53:28 CDT,False
2025-03-27,AA3579,HOU,2025-03-27 22:41:00 CDT,2025-03-27 22:48:24 CDT,False
2025-03-27,AA4914,CLL,2025-03-27 22:40:00 CDT,2025-03-27 22:52:11 CDT,False
2025-03-27,F93885,LAS,2025-03-27 22:39:00 CDT,2025-03-27 22:51:05 CDT,False
2025-03-27,AA3614,AMA,2025-03-27 22:39:00 CDT,2025-03-27 22:55:46 CDT,True
