year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,28,6,CV5794,MIA,2025-03-27 23:45:00 CDT,0,CV
2025,3,28,6,AA3074,SJU,2025-03-27 23:35:00 CDT,0,AA
2025,3,27,5,FX1365,MEM,2025-03-27 23:09:00 CDT,23,FX
2025,3,27,5,IB364,MAD,2025-03-27 22:59:00 CDT,23,IB
2025,3,27,5,NK194,LAS,2025-03-27 22:57:00 CDT,23,NK
2025,3,27,5,AA2564,ABQ,2025-03-27 22:57:00 CDT,23,AA
2025,3,27,5,AA4896,ACT,2025-03-27 22:56:00 CDT,23,AA
2025,3,27,5,QR732,DOH,2025-03-27 22:55:00 CDT,23,QR
2025,3,27,5,AA662,DEN,2025-03-27 22:55:00 CDT,23,AA
2025,3,27,5,FJ891,NAN,2025-03-27 22:55:00 CDT,23,FJ
2025,3,27,5,AA1217,SAT,2025-03-27 22:55:00 CDT,23,AA
2025,3,27,5,AA2734,OKC,2025-03-27 22:54:00 CDT,23,AA
2025,3,27,5,FX1609,IND,2025-03-27 22:53:00 CDT,23,FX
2025,3,27,5,AA1607,ELP,2025-03-27 22:52:00 CDT,23,AA
2025,3,27,5,AA790,COS,2025-03-27 22:52:00 CDT,23,AA
2025,3,27,5,AA6332,GGG,2025-03-27 22:51:00 CDT,23,AA
2025,3,27,5,AA2998,LAS,2025-03-27 22:51:00 CDT,23,AA
2025,3,27,5,5X9324,SDF,2025-03-27 22:50:00 CDT,23,5X
2025,3,27,5,AA6395,TYR,2025-03-27 22:50:00 CDT,23,AA
2025,3,27,5,AA6333,ROW,2025-03-27 22:50:00 CDT,23,AA
2025,3,27,5,AA3569,GRK,2025-03-27 22:48:00 CDT,23,AA
2025,3,27,5,AA650,IAH,2025-03-27 22:48:00 CDT,23,AA
2025,3,27,5,AA6200,SJT,2025-03-27 22:47:00 CDT,23,AA
2025,3,27,5,AA2568,SAN,2025-03-27 22:46:00 CDT,23,AA
2025,3,27,5,AA1205,AUS,2025-03-27 22:45:00 CDT,23,AA
2025,3,27,5,AA531,TUL,2025-03-27 22:45:00 CDT,23,AA
2025,3,27,5,AA3687,FSM,2025-03-27 22:45:00 CDT,23,AA
2025,3,27,5,AA1433,XNA,2025-03-27 22:43:00 CDT,23,AA
2025,3,27,5,AA711,ONT,2025-03-27 22:42:00 CDT,23,AA
2025,3,27,5,AA509,SMF,2025-03-27 22:42:00 CDT,23,AA
2025,3,27,5,AA5130,LIT,2025-03-27 22:41:00 CDT,23,AA
2025,3,27,5,AA3579,HOU,2025-03-27 22:41:00 CDT,23,AA
2025,3,27,5,AA4914,CLL,2025-03-27 22:40:00 CDT,23,AA
2025,3,27,5,F93885,LAS,2025-03-27 22:39:00 CDT,23,F9
2025,3,27,5,AA3614,AMA,2025-03-27 22:39:00 CDT,23,AA
2025,3,27,5,AA3588,MAF,2025-03-27 22:38:00 CDT,23,AA
2025,3,27,5,AA485,MFE,2025-03-27 22:38:00 CDT,23,AA
2025,3,27,5,AA5095,ICT,2025-03-27 22:36:00 CDT,23,AA
