year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,27,5,AA2972,MCI,2025-03-27 21:20:00 CDT,21,AA
2025,3,27,5,AA2303,LAX,2025-03-27 21:20:00 CDT,21,AA
2025,3,27,5,AA2721,BHM,2025-03-27 21:20:00 CDT,21,AA
2025,3,27,5,AA5437,HSV,2025-03-27 21:19:00 CDT,21,AA
2025,3,27,5,AA1084,MFE,2025-03-27 21:19:00 CDT,21,AA
2025,3,27,5,AA3549,BTR,2025-03-27 21:17:00 CDT,21,AA
2025,3,27,5,AA3357,GCK,2025-03-27 21:17:00 CDT,21,AA
2025,3,27,5,AA5023,MGM,2025-03-27 21:16:00 CDT,21,AA
2025,3,27,5,AA3412,BRO,2025-03-27 21:15:00 CDT,21,AA
2025,3,27,5,AA1536,SMF,2025-03-27 21:14:00 CDT,21,AA
2025,3,27,5,AA771,ABQ,2025-03-27 21:13:00 CDT,21,AA
2025,3,27,5,AA4173,CRP,2025-03-27 21:11:00 CDT,21,AA
2025,3,27,5,NK596,PHX,2025-03-27 21:10:00 CDT,21,NK
2025,3,27,5,AA2958,FAT,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,AA2806,MSP,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,AA1500,BNA,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,AA861,SLP,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,AA542,RDU,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,AA348,SNA,2025-03-27 21:10:00 CDT,21,AA
2025,3,27,5,5X765,SDF,2025-03-27 21:08:00 CDT,21,5X
2025,3,27,5,AA4079,LIT,2025-03-27 21:08:00 CDT,21,AA
2025,3,27,5,AA2319,TUS,2025-03-27 21:08:00 CDT,21,AA
2025,3,27,5,AA876,MSN,2025-03-27 21:07:00 CDT,21,AA
2025,3,27,5,AA6296,LAW,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA6278,TXK,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA2993,SLC,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA1821,ONT,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA641,CMH,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA5057,MOB,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,AA4282,COU,2025-03-27 21:05:00 CDT,21,AA
2025,3,27,5,Y4801,MEX,2025-03-27 21:04:00 CDT,21,Y4
2025,3,27,5,AA4887,SHV,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA2321,RSW,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA1542,SDF,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA1336,MCO,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA1010,STL,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA945,SCL,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA6319,GRI,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA5013,SPS,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA3483,MLU,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,AA2063,GDL,2025-03-27 21:00:00 CDT,21,AA
2025,3,27,5,F93999,SFO,2025-03-27 20:59:00 CDT,21,F9
2025,3,27,5,AA1797,LAS,2025-03-27 20:59:00 CDT,21,AA
2025,3,27,5,AA4092,SGF,2025-03-27 20:58:00 CDT,21,AA
2025,3,27,5,AA1798,SAN,2025-03-27 20:56:00 CDT,21,AA
2025,3,27,5,AA1704,CLT,2025-03-27 20:56:00 CDT,21,AA
2025,3,27,5,AA1458,OKC,2025-03-27 20:56:00 CDT,21,AA
2025,3,27,5,AA3356,DSM,2025-03-27 20:56:00 CDT,21,AA
2025,3,27,5,AA5257,CHA,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA3795,ABI,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA2707,AUS,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA2090,MIA,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA997,EZE,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA766,IND,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA2709,PSP,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA1360,DCA,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA1081,TYS,2025-03-27 20:55:00 CDT,21,AA
2025,3,27,5,AA1242,PDX,2025-03-27 20:54:00 CDT,21,AA
2025,3,27,5,AA3504,XNA,2025-03-27 20:54:00 CDT,21,AA
2025,3,27,5,AA3078,DTW,2025-03-27 20:54:00 CDT,21,AA
2025,3,27,5,AA2749,ATL,2025-03-27 20:54:00 CDT,21,AA
2025,3,27,5,AA2452,SFO,2025-03-27 20:54:00 CDT,21,AA
2025,3,27,5,AA577,DEN,2025-03-27 20:53:00 CDT,21,AA
2025,3,27,5,AA2256,TPA,2025-03-27 20:51:00 CDT,21,AA
2025,3,27,5,AA4004,TRC,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA2003,SEA,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA1406,SAT,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA4284,LBB,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA3873,CAE,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA2209,IAH,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,AA1251,PHX,2025-03-27 20:50:00 CDT,21,AA
2025,3,27,5,5X755,RFD,2025-03-27 20:48:00 CDT,21,5X
2025,3,27,5,AA963,GRU,2025-03-27 20:40:00 CDT,21,AA
2025,3,27,5,F92531,PHX,2025-03-27 20:39:00 CDT,21,F9
2025,3,27,5,AA821,TUL,2025-03-27 20:38:00 CDT,21,AA
2025,3,27,5,SY504,MSP,2025-03-27 20:36:00 CDT,21,SY
2025,3,27,5,AA3541,MAF,2025-03-27 20:35:00 CDT,21,AA
2025,3,27,5,AA1857,VPS,2025-03-27 20:35:00 CDT,21,AA
2025,3,27,5,AA1092,ELP,2025-03-27 20:29:00 CDT,20,AA
2025,3,27,5,AA2102,PNS,2025-03-27 20:27:00 CDT,20,AA
2025,3,27,5,AA3531,MTY,2025-03-27 20:25:00 CDT,20,AA
2025,3,27,5,AA2071,QRO,2025-03-27 20:23:00 CDT,20,AA
2025,3,27,5,NK200,LAX,2025-03-27 20:21:00 CDT,20,NK
2025,3,27,5,AA576,AUS,2025-03-27 20:20:00 CDT,20,AA
2025,3,27,5,AA3339,LEX,2025-03-27 20:18:00 CDT,20,AA
2025,3,27,5,AA4186,ATW,2025-03-27 20:17:00 CDT,20,AA
2025,3,27,5,AA2449,JAX,2025-03-27 20:17:00 CDT,20,AA
2025,3,27,5,AA1125,LAX,2025-03-27 20:14:00 CDT,20,AA
2025,3,27,5,5X751,SDF,2025-03-27 20:12:00 CDT,20,5X
2025,3,27,5,AA937,GIG,2025-03-27 20:10:00 CDT,20,AA
2025,3,27,5,UA1214,ORD,2025-03-27 20:05:00 CDT,20,UA
2025,3,27,5,AA3518,BIS,2025-03-27 20:04:00 CDT,20,AA
2025,3,27,5,AA4139,BHM,2025-03-27 19:57:00 CDT,20,AA
2025,3,27,5,9X411,HOT,2025-03-27 19:55:00 CDT,20,9X
2025,3,27,5,QF22,MEL,2025-03-27 19:55:00 CDT,20,QF
2025,3,27,5,AA6405,SAF,2025-03-27 19:55:00 CDT,20,AA
2025,3,27,5,AA3955,CUU,2025-03-27 19:54:00 CDT,20,AA
2025,3,27,5,AA3124,MFE,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2667,LAS,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2190,BJX,2025-03-27 19:50:00 CDT,20,AA
2025,3,28,6,SQ7951,BRU,2025-03-28 03:00:00 CDT,3,SQ
2025,3,28,6,Y87478,HFE,2025-03-28 02:00:00 CDT,2,Y8
2025,3,28,6,CX2091,ATL,2025-03-28 01:25:00 CDT,1,CX
2025,3,28,6,FX1385,MEM,2025-03-28 00:40:00 CDT,1,FX
2025,3,28,6,CV5794,MIA,2025-03-27 23:45:00 CDT,0,CV
2025,3,28,6,AA3074,SJU,2025-03-27 23:35:00 CDT,0,AA
2025,3,27,5,FX1365,MEM,2025-03-27 23:09:00 CDT,23,FX
2025,3,27,5,IB364,MAD,2025-03-27 22:59:00 CDT,23,IB
2025,3,27,5,NK194,LAS,2025-03-27 22:57:00 CDT,23,NK
2025,3,27,5,AA2564,ABQ,2025-03-27 22:57:00 CDT,23,AA
2025,3,27,5,AA4896,ACT,2025-03-27 22:56:00 CDT,23,AA
2025,3,27,5,QR732,DOH,2025-03-27 22:55:00 CDT,23,QR
2025,3,27,5,AA662,DEN,2025-03-27 22:55:00 CDT,23,AA
2025,3,27,5,FJ891,NAN,2025-03-27 22:55:00 CDT,23,FJ
2025,3,27,5,AA1217,SAT,2025-03-27 22:55:00 CDT,23,AA
2025,3,27,5,AA2734,OKC,2025-03-27 22:54:00 CDT,23,AA
2025,3,27,5,FX1609,IND,2025-03-27 22:53:00 CDT,23,FX
2025,3,27,5,AA1607,ELP,2025-03-27 22:52:00 CDT,23,AA
2025,3,27,5,AA790,COS,2025-03-27 22:52:00 CDT,23,AA
2025,3,27,5,AA6332,GGG,2025-03-27 22:51:00 CDT,23,AA
2025,3,27,5,AA2998,LAS,2025-03-27 22:51:00 CDT,23,AA
2025,3,27,5,5X9324,SDF,2025-03-27 22:50:00 CDT,23,5X
2025,3,27,5,AA6395,TYR,2025-03-27 22:50:00 CDT,23,AA
