year,month,day,closest_hour_crs_dep,temp,pressure,humidity,wind_speed,wind_deg,weather_id
2025,3,27,5,19.52,1020,71,3.49,125,803
2025,3,27,6,19.73,1019,70,3.56,130,803
2025,3,27,7,19.26,1019,71,3.7,145,804
2025,3,27,8,18.6,1019,72,3.01,147,804
2025,3,27,9,18.12,1019,74,2.52,153,804
2025,3,27,10,17.45,1018,76,2.77,159,804
2025,3,27,11,17.1,1018,79,2.19,161,804
2025,3,27,12,17.41,1019,81,2.93,170,804
2025,3,27,13,17.41,1020,83,2.9,182,804
2025,3,27,14,18.54,1021,79,3.53,187,804
2025,3,27,15,20.19,1021,71,3.79,195,804
2025,3,27,16,20.94,1021,64,5.36,189,804
2025,3,27,17,21.13,1021,57,6.1,181,804
2025,3,27,18,24.28,1020,54,7.19,181,804
2025,3,27,19,22.64,1020,53,6.52,172,804
2025,3,27,20,22.8,1019,50,7.3,169,804
2025,3,27,21,22.96,1018,42,7.12,159,804
2025,3,27,22,22.35,1018,44,7.41,156,804
2025,3,27,23,21.84,1017,48,6.86,159,804
2025,3,28,0,18.87,1017,61,7.5,151,804
2025,3,28,1,17.04,1018,68,6.88,155,803
2025,3,28,2,16.94,1018,67,5.67,152,804
2025,3,28,3,17.12,1018,66,5.87,145,804
2025,3,28,4,16.84,1017,72,5,151,500
2025,3,28,5,16.27,1017,81,5.02,142,500
2025,3,28,6,16.53,1016,81,4.76,153,804
2025,3,28,7,16.68,1016,80,3.77,161,804
2025,3,28,8,16.59,1015,82,3.68,162,500
2025,3,28,9,16.38,1015,86,3.48,157,500
2025,3,28,10,16.23,1014,90,2.86,147,501
2025,3,28,11,16.03,1014,94,2.5,135,501
2025,3,28,12,16.05,1014,96,3.08,134,501
2025,3,28,13,16.33,1015,92,4.17,157,500
2025,3,28,14,16.07,1015,91,4.25,157,500
2025,3,28,15,16.09,1015,92,3.7,148,500
2025,3,28,16,16.19,1015,90,3.8,145,500
2025,3,28,17,16.45,1015,88,4.47,142,500
2025,3,28,18,16.59,1014,87,4.7,144,804
2025,3,28,19,16.59,1013,88,4.52,140,804
2025,3,28,20,17.05,1012,85,4.32,137,804
2025,3,28,21,17.75,1011,81,3.19,156,804
2025,3,28,22,17.98,1010,80,2.75,145,804
2025,3,28,23,18.09,1010,80,2.76,128,804
2025,3,29,0,18.08,1010,81,2,107,804
2025,3,29,1,17.88,1010,85,2.9,113,804
2025,3,29,2,17.66,1010,88,3.32,134,804
2025,3,29,3,17.49,1010,90,3.05,151,804
2025,3,29,4,17.09,1010,91,2.8,160,804
2025,3,29,5,17.1,1010,92,2.58,155,804
2025,3,29,6,17.16,1009,92,2.65,138,804
2025,3,29,7,17.22,1009,94,3.1,137,804
2025,3,29,8,17.29,1008,94,3.59,161,804
2025,3,29,9,17.65,1007,90,4.05,172,804
2025,3,29,10,17.78,1007,90,3.85,171,804
2025,3,29,11,18.01,1007,88,3.89,179,804
2025,3,29,12,18.26,1008,86,4.51,184,804
2025,3,29,13,17.95,1008,89,3.7,173,804
2025,3,29,14,18.44,1008,87,4.21,165,804
2025,3,29,15,19.54,1009,81,4.84,188,804
2025,3,29,16,19.89,1009,81,5.19,186,804
2025,3,29,17,21.37,1008,74,5.45,171,804
2025,3,29,18,24.59,1007,59,5.85,174,803
2025,3,29,19,26.9,1006,51,6.16,183,800
2025,3,29,20,28.36,1004,48,6.65,188,800
2025,3,29,21,29.24,1003,47,6.79,183,800
2025,3,29,22,30.12,1003,44,6.64,176,800
2025,3,29,23,29.99,1002,44,6.43,162,800
2025,3,30,0,28.73,1001,47,6.67,159,800
2025,3,30,1,27.28,1002,53,6.45,160,804
2025,3,30,2,25.03,1002,70,7.28,158,804
2025,3,30,3,24.04,1003,75,7.41,167,803
2025,3,30,4,23.83,1003,74,7.3,177,803
2025,3,30,5,23.67,1003,73,7.43,183,803
2025,3,30,6,23.24,1003,75,6.99,189,803
2025,3,30,7,22.96,1003,76,6.75,190,804
2025,3,30,8,22.45,1004,78,6.38,199,804
2025,3,30,9,22.1,1003,80,6.38,197,804
2025,3,30,10,21.81,1004,82,6.87,201,804
2025,3,30,11,21.47,1004,84,7.07,205,804
2025,3,30,12,21.17,1004,84,6.38,210,803
2025,3,30,13,20.95,1005,84,4.96,216,801
2025,3,30,14,22.05,1007,79,4.97,221,802
2025,3,30,15,24.15,1008,39,4.89,267,802
2025,3,30,16,23.82,1008,28,4.5,298,801
2025,3,30,17,23.9,1008,33,4.14,322,802
2025,3,30,18,25.02,1008,35,3.33,319,801
2025,3,30,19,26.11,1008,33,3.52,333,801
2025,3,30,20,26.82,1007,32,3.73,342,801
2025,3,30,21,27,1007,31,3.29,347,802
2025,3,30,22,26.92,1007,32,3.07,351,802
2025,3,30,23,26.41,1007,32,3.52,357,803
2025,3,31,0,25.22,1006,37,3.98,14,802
2025,3,31,1,23.47,1007,44,3.08,44,800
2025,3,31,2,22.36,1009,48,3.31,26,801
2025,3,31,3,21.25,1010,51,3.71,32,802
2025,3,31,4,20.21,1010,55,4.06,56,801
